objective,alg,params,B_factor,B,f_value,queries,time_sec,size,mem_kb
REVENUE,edl,"B=262.63367924156927,eps=0.10000000000000001",0.10000000000000001,262.63367924156927,7149.1444702575618,8683261,13.618554601,1035,0
REVENUE,dcs,"B=262.63367924156927,w=2",0.10000000000000001,262.63367924156927,5973.403395944516,10488,0.01491026,604,700
REVENUE,dcms,"B=262.63367924156927,w=2,eps=0.10000000000000001,alpha=2",0.10000000000000001,262.63367924156927,6957.1870030525652,525294,0.56951765700000001,895,1664
REVENUE,algo9,"B=262.63367924156927,eps=0.10000000000000001,mode=best(A,G)",0.10000000000000001,262.63367924156927,8507.3081778404194,5501125,4.3209786079999999,1144,6712
REVENUE,algo10,"B=262.63367924156927,eps=0.10000000000000001",0.10000000000000001,262.63367924156927,8571.8535075101117,8404033,6.7650666040000003,1103,7040
REVENUE,edl,"B=262.63367924156927,eps=0.10000000000000001",0.10000000000000001,262.63367924156927,7149.1444702575618,8683261,10.060976956999999,1035,264
REVENUE,twin_greedy,B=262.63367924156927,0.10000000000000001,262.63367924156927,7057.1726982938108,16088206,15.785165278999999,1047,380
REVENUE,dcs,"B=393.95051886235382,w=2",0.14999999999999999,393.95051886235382,6497.226750892879,10488,0.015167073,741,1068
REVENUE,dcms,"B=393.95051886235382,w=2,eps=0.10000000000000001,alpha=2",0.14999999999999999,393.95051886235382,7459.1551198999059,570594,0.59079371800000002,1122,1928
REVENUE,algo9,"B=393.95051886235382,eps=0.10000000000000001,mode=best(A,G)",0.14999999999999999,393.95051886235382,9301.2378869733566,6660027,5.0370328730000002,1430,8180
REVENUE,algo10,"B=393.95051886235382,eps=0.10000000000000001",0.14999999999999999,393.95051886235382,9415.938828442575,10088681,7.8667673560000004,1363,7976
REVENUE,edl,"B=393.95051886235382,eps=0.10000000000000001",0.14999999999999999,393.95051886235382,7821.4232932042169,8574822,9.9835179879999991,1307,384
REVENUE,twin_greedy,B=393.95051886235382,0.14999999999999999,393.95051886235382,7713.2828996871831,19236275,18.441359675000001,1079,380
REVENUE,dcs,"B=525.26735848313854,w=2",0.20000000000000001,525.26735848313854,6853.915065400879,10488,0.015070114000000001,942,944
REVENUE,dcms,"B=525.26735848313854,w=2,eps=0.10000000000000001,alpha=2",0.20000000000000001,525.26735848313854,7924.9070015563411,625154,0.61966095399999999,1360,1928
REVENUE,algo9,"B=525.26735848313854,eps=0.10000000000000001,mode=best(A,G)",0.20000000000000001,525.26735848313854,9766.7146134896248,7597382,5.632231591,1675,9560
REVENUE,algo10,"B=525.26735848313854,eps=0.10000000000000001",0.20000000000000001,525.26735848313854,9914.8362955964567,11365587,8.7209026309999995,1589,9560
REVENUE,edl,"B=525.26735848313854,eps=0.10000000000000001",0.20000000000000001,525.26735848313854,8113.715471601844,8506816,9.8109684490000006,1541,380
REVENUE,twin_greedy,B=525.26735848313854,0.20000000000000001,525.26735848313854,8143.2375208962831,21590829,20.447849430000002,1298,0
REVENUE,dcs,"B=656.58419810392309,w=2",0.25,656.58419810392309,7250.2704643177231,10488,0.015245943,1059,948
REVENUE,dcms,"B=656.58419810392309,w=2,eps=0.10000000000000001,alpha=2",0.25,656.58419810392309,8094.4667554845919,654283,0.62940047600000004,1542,2068
REVENUE,algo9,"B=656.58419810392309,eps=0.10000000000000001,mode=best(A,G)",0.25,656.58419810392309,10051.416647224356,8323485,6.0425566579999996,1876,10620
REVENUE,algo10,"B=656.58419810392309,eps=0.10000000000000001",0.25,656.58419810392309,10231.28150059252,12263107,9.3459593999999999,1776,10672
REVENUE,edl,"B=656.58419810392309,eps=0.10000000000000001",0.25,656.58419810392309,8451.0312257660444,8466315,9.7417697899999993,1507,380
REVENUE,twin_greedy,B=656.58419810392309,0.25,656.58419810392309,8415.7514131989101,23242035,21.939378782999999,1493,380
REVENUE,dcs,"B=787.90103772470763,w=2",0.29999999999999999,787.90103772470763,7384.0834833893514,10488,0.015286945999999999,1139,956
REVENUE,dcms,"B=787.90103772470763,w=2,eps=0.10000000000000001,alpha=2",0.29999999999999999,787.90103772470763,8247.7618018739558,698307,0.65678511399999995,1752,2068
REVENUE,algo9,"B=787.90103772470763,eps=0.10000000000000001,mode=best(A,G)",0.29999999999999999,787.90103772470763,10219.572834785658,8985571,6.4107368789999999,2068,11612
REVENUE,algo10,"B=787.90103772470763,eps=0.10000000000000001",0.29999999999999999,787.90103772470763,10423.458049619116,12969587,9.8240186190000003,1949,11616
REVENUE,edl,"B=787.90103772470763,eps=0.10000000000000001",0.29999999999999999,787.90103772470763,8583.308481155138,8564273,9.8422866689999999,1682,0
REVENUE,twin_greedy,B=787.90103772470763,0.29999999999999999,787.90103772470763,8599.5720894917595,24528140,23.222606669000001,1674,380
REVENUE,dcs,"B=919.2178773454923,w=2",0.34999999999999998,919.2178773454923,7555.1466904576982,10488,0.015462326,1185,892
REVENUE,dcms,"B=919.2178773454923,w=2,eps=0.10000000000000001,alpha=2",0.34999999999999998,919.2178773454923,8353.0313238038707,756565,0.688346346,1902,2132
REVENUE,algo9,"B=919.2178773454923,eps=0.10000000000000001,mode=best(A,G)",0.34999999999999998,919.2178773454923,10285.011112315686,9651272,6.7647108669999998,2254,12520
REVENUE,algo10,"B=919.2178773454923,eps=0.10000000000000001",0.34999999999999998,919.2178773454923,10515.742590890357,13612843,10.330537662999999,2110,12520
REVENUE,edl,"B=919.2178773454923,eps=0.10000000000000001",0.34999999999999998,919.2178773454923,8716.1917974464523,9495649,10.934437438,1882,324
REVENUE,twin_greedy,B=919.2178773454923,0.34999999999999998,919.2178773454923,8689.0514768947305,25723092,24.505394305999999,1867,324
REVENUE,dcs,"B=1050.5347169662771,w=2",0.40000000000000002,1050.5347169662771,7529.1549799780814,10488,0.015345868,1233,1076
REVENUE,dcms,"B=1050.5347169662771,w=2,eps=0.10000000000000001,alpha=2",0.40000000000000002,1050.5347169662771,8236.0722824731147,777846,0.69201693900000005,2130,2000
REVENUE,algo9,"B=1050.5347169662771,eps=0.10000000000000001,mode=best(A,G)",0.40000000000000002,1050.5347169662771,10287.236090532135,9726093,6.7961514359999997,2274,12784
REVENUE,algo10,"B=1050.5347169662771,eps=0.10000000000000001",0.40000000000000002,1050.5347169662771,10522.61484508741,13888113,10.589710137000001,2126,12668
REVENUE,edl,"B=1050.5347169662771,eps=0.10000000000000001",0.40000000000000002,1050.5347169662771,8726.7122869818977,9998384,11.664994797,2038,324
REVENUE,twin_greedy,B=1050.5347169662771,0.40000000000000002,1050.5347169662771,8704.8190624224699,26301154,25.196065298000001,2026,384
REVENUE,dcs,"B=1181.8515565870616,w=2",0.45000000000000001,1181.8515565870616,7617.2820813325325,10488,0.015127925,1284,944
REVENUE,dcms,"B=1181.8515565870616,w=2,eps=0.10000000000000001,alpha=2",0.45000000000000001,1181.8515565870616,7531.1556955432625,774904,0.690140317,2400,1944
REVENUE,algo9,"B=1181.8515565870616,eps=0.10000000000000001,mode=best(A,G)",0.45000000000000001,1181.8515565870616,10287.756140622936,9760301,6.8067089010000004,2282,12672
REVENUE,algo10,"B=1181.8515565870616,eps=0.10000000000000001",0.45000000000000001,1181.8515565870616,10523.193465104217,14012166,10.718533982,2134,12464
REVENUE,edl,"B=1181.8515565870616,eps=0.10000000000000001",0.45000000000000001,1181.8515565870616,8705.0079187590491,9863368,11.550575048000001,2020,380
