objective,alg,params,B_factor,B,f_value,queries,time_sec,size,mem_kb
REVENUE,dcs,"B=601.57817341032921,w=2",0.10000000000000001,601.57817341032921,37443.166141138587,24020,0.37460512499999998,1185,812
REVENUE,dcms,"B=601.57817341032921,w=2,eps=0.10000000000000001,alpha=2",0.10000000000000001,601.57817341032921,43945.489615821461,1376143,22.315775748,1792,2728
REVENUE,algo9,"B=601.57817341032921,eps=0.10000000000000001,mode=best(A,G)",0.10000000000000001,601.57817341032921,48934.706512233752,25690277,201.306287473,2323,28284
REVENUE,algo10,"B=601.57817341032921,eps=0.10000000000000001",0.10000000000000001,601.57817341032921,51613.147315498172,40910375,268.90616930900001,2252,28476
REVENUE,edl,"B=601.57817341032921,eps=0.10000000000000001",0.10000000000000001,601.57817341032921,43159.455649771568,20732310,233.59375926000001,1992,832
REVENUE,twin_greedy,B=601.57817341032921,0.10000000000000001,601.57817341032921,41297.005072179818,77731220,673.96177129499995,1891,872
REVENUE,dcs,"B=902.36726011549365,w=2",0.14999999999999999,902.36726011549365,39766.001479548991,24020,0.37412706000000001,1383,0
REVENUE,dcms,"B=902.36726011549365,w=2,eps=0.10000000000000001,alpha=2",0.14999999999999999,902.36726011549365,46747.993043218143,1540837,22.877791283000001,2427,2632
REVENUE,algo9,"B=902.36726011549365,eps=0.10000000000000001,mode=best(A,G)",0.14999999999999999,902.36726011549365,52679.392359417361,32152280,224.51405908199999,3006,36108
REVENUE,algo10,"B=902.36726011549365,eps=0.10000000000000001",0.14999999999999999,902.36726011549365,55811.392248742246,50328745,297.41833100299999,2894,36292
REVENUE,edl,"B=902.36726011549365,eps=0.10000000000000001",0.14999999999999999,902.36726011549365,45983.213110608624,20879585,231.60158896600001,2642,0
REVENUE,twin_greedy,B=902.36726011549365,0.14999999999999999,902.36726011549365,43932.447898467806,96114424,774.81521385999997,2490,820
REVENUE,dcs,"B=1203.1563468206584,w=2",0.20000000000000001,1203.1563468206584,41162.096289103712,24020,0.37552167800000003,1604,752
REVENUE,dcms,"B=1203.1563468206584,w=2,eps=0.10000000000000001,alpha=2",0.20000000000000001,1203.1563468206584,47140.975224426467,1640001,23.073637270999999,2999,2952
REVENUE,algo9,"B=1203.1563468206584,eps=0.10000000000000001,mode=best(A,G)",0.20000000000000001,1203.1563468206584,54810.371016745325,37356717,242.568232937,3595,43392
REVENUE,algo10,"B=1203.1563468206584,eps=0.10000000000000001",0.20000000000000001,1203.1563468206584,58214.881974804906,57405418,320.99371923299998,3435,43284
REVENUE,edl,"B=1203.1563468206584,eps=0.10000000000000001",0.20000000000000001,1203.1563468206584,48035.322262241578,21033839,227.04723214699999,3193,0
REVENUE,twin_greedy,B=1203.1563468206584,0.20000000000000001,1203.1563468206584,45245.708378146024,109958226,863.52851325699999,3031,808
REVENUE,dcs,"B=1503.9454335258229,w=2",0.25,1503.9454335258229,42414.029163069601,24020,0.378675767,1749,868
REVENUE,dcms,"B=1503.9454335258229,w=2,eps=0.10000000000000001,alpha=2",0.25,1503.9454335258229,48645.987809295853,1713912,23.513891593,3532,3232
REVENUE,algo9,"B=1503.9454335258229,eps=0.10000000000000001,mode=best(A,G)",0.25,1503.9454335258229,56028.364094866665,41732629,258.61049183300003,4124,49364
REVENUE,algo10,"B=1503.9454335258229,eps=0.10000000000000001",0.25,1503.9454335258229,59631.280340875463,62674937,346.90524231099999,3910,49572
REVENUE,edl,"B=1503.9454335258229,eps=0.10000000000000001",0.25,1503.9454335258229,46127.725891063812,21323412,220.429931251,3468,772
REVENUE,twin_greedy,B=1503.9454335258229,0.25,1503.9454335258229,45955.320651827256,120006889,959.18200427900001,3509,800
REVENUE,dcs,"B=1804.7345202309873,w=2",0.29999999999999999,1804.7345202309873,40867.04250113594,24020,0.38012784799999999,1800,756
REVENUE,dcms,"B=1804.7345202309873,w=2,eps=0.10000000000000001,alpha=2",0.29999999999999999,1804.7345202309873,40019.165678077079,1795702,24.340940216,4065,3204
REVENUE,algo9,"B=1804.7345202309873,eps=0.10000000000000001,mode=best(A,G)",0.29999999999999999,1804.7345202309873,56719.087398838077,45549994,291.529125577,4612,55120
REVENUE,algo10,"B=1804.7345202309873,eps=0.10000000000000001",0.29999999999999999,1804.7345202309873,60417.687020362901,66640641,408.06690146699998,4362,55248
REVENUE,edl,"B=1804.7345202309873,eps=0.10000000000000001",0.29999999999999999,1804.7345202309873,46295.066558693521,21918346,250.71744161500001,3961,808
REVENUE,twin_greedy,B=1804.7345202309873,0.29999999999999999,1804.7345202309873,46326.672172445658,128015490,1082.9870386580001,3960,808
REVENUE,dcs,"B=2105.5236069361517,w=2",0.34999999999999998,2105.5236069361517,41644.098767656113,24020,0.41875472699999999,1903,816
REVENUE,dcms,"B=2105.5236069361517,w=2,eps=0.10000000000000001,alpha=2",0.34999999999999998,2105.5236069361517,39225.206861050065,1881225,27.640116765999998,4668,3104
REVENUE,algo9,"B=2105.5236069361517,eps=0.10000000000000001,mode=best(A,G)",0.34999999999999998,2105.5236069361517,57073.704253301948,49005264,304.65229378399999,5080,60808
REVENUE,algo10,"B=2105.5236069361517,eps=0.10000000000000001",0.34999999999999998,2105.5236069361517,60987.674719569324,69317919,419.13496534799998,4787,60768
REVENUE,edl,"B=2105.5236069361517,eps=0.10000000000000001",0.34999999999999998,2105.5236069361517,46464.500810430174,24515412,287.915833695,4369,0
REVENUE,twin_greedy,B=2105.5236069361517,0.34999999999999998,2105.5236069361517,46441.759075272443,133926862,1174.955363992,4408,824
REVENUE,dcs,"B=2406.3126936413169,w=2",0.40000000000000002,2406.3126936413169,41907.113910892775,24020,0.43082137300000001,2005,740
REVENUE,dcms,"B=2406.3126936413169,w=2,eps=0.10000000000000001,alpha=2",0.40000000000000002,2406.3126936413169,38659.592138505323,1874971,27.378884029999998,5240,3208
REVENUE,algo9,"B=2406.3126936413169,eps=0.10000000000000001,mode=best(A,G)",0.40000000000000002,2406.3126936413169,57150.296523506557,50615435,314.07986875699999,5302,63360
REVENUE,algo10,"B=2406.3126936413169,eps=0.10000000000000001",0.40000000000000002,2406.3126936413169,61117.054252115515,70065313,434.52273755099998,4987,63292
REVENUE,edl,"B=2406.3126936413169,eps=0.10000000000000001",0.40000000000000002,2406.3126936413169,46054.582696693295,25061450,282.81258139400001,4501,920
REVENUE,twin_greedy,B=2406.3126936413169,0.40000000000000002,2406.3126936413169,46444.463661865324,134995886,1202.838846264,4511,812
REVENUE,dcs,"B=2707.1017803464811,w=2",0.45000000000000001,2707.1017803464811,45062.578488670515,24020,0.41561361600000002,2089,744
REVENUE,dcms,"B=2707.1017803464811,w=2,eps=0.10000000000000001,alpha=2",0.45000000000000001,2707.1017803464811,38197.034470035236,1829138,26.781459260999998,5841,3164
REVENUE,algo9,"B=2707.1017803464811,eps=0.10000000000000001,mode=best(A,G)",0.45000000000000001,2707.1017803464811,57153.361103011004,50721250,315.56965745000002,5316,63568
REVENUE,algo10,"B=2707.1017803464811,eps=0.10000000000000001",0.45000000000000001,2707.1017803464811,61123.366811826818,70213500,432.54284954500002,5000,63548
REVENUE,edl,"B=2707.1017803464811,eps=0.10000000000000001",0.45000000000000001,2707.1017803464811,47721.17782539536,24778482,283.83208563400001,4609,772
REVENUE,twin_greedy,B=2707.1017803464811,0.45000000000000001,2707.1017803464811,46444.463661865324,134995886,1218.2415204009999,4511,744
REVENUE,dcs,"B=3007.8908670516457,w=2",0.5,3007.8908670516457,45658.673677896673,24020,0.41546709399999998,2207,892
REVENUE,dcms,"B=3007.8908670516457,w=2,eps=0.10000000000000001,alpha=2",0.5,3007.8908670516457,34902.529776618729,1822995,26.124241845,6401,3380
REVENUE,algo9,"B=3007.8908670516457,eps=0.10000000000000001,mode=best(A,G)",0.5,3007.8908670516457,57157.589790680053,50892281,315.19940531700001,5338,63832
REVENUE,algo10,"B=3007.8908670516457,eps=0.10000000000000001",0.5,3007.8908670516457,61136.62022318488,70467390,430.700386772,5017,63616
REVENUE,edl,"B=3007.8908670516457,eps=0.10000000000000001",0.5,3007.8908670516457,45976.151253706812,24494300,273.39231649700002,4484,960
REVENUE,twin_greedy,B=3007.8908670516457,0.5,3007.8908670516457,46444.463661865324,134995886,1184.4784291460001,4511,808
REVENUE,dcs,"B=3308.6799537568104,w=2",0.55000000000000004,3308.6799537568104,45862.480644191317,24020,0.41189022800000002,2281,800
REVENUE,dcms,"B=3308.6799537568104,w=2,eps=0.10000000000000001,alpha=2",0.55000000000000004,3308.6799537568104,32469.030646274812,1863100,27.474997635000001,6984,3372
REVENUE,algo9,"B=3308.6799537568104,eps=0.10000000000000001,mode=best(A,G)",0.55000000000000004,3308.6799537568104,57158.782099008153,50957629,317.37841460300001,5346,63856
REVENUE,algo10,"B=3308.6799537568104,eps=0.10000000000000001",0.55000000000000004,3308.6799537568104,61142.843105215354,70551538,445.77988542000003,5022,63812
REVENUE,edl,"B=3308.6799537568104,eps=0.10000000000000001",0.55000000000000004,3308.6799537568104,47441.646966692293,24279110,268.17315387899998,4633,928
REVENUE,twin_greedy,B=3308.6799537568104,0.55000000000000004,3308.6799537568104,46444.463661865324,134995886,1182.8854325899999,4511,820
REVENUE,dcs,"B=3609.4690404619746,w=2",0.59999999999999998,3609.4690404619746,45995.788286076218,24020,0.41563916299999998,2335,864
REVENUE,dcms,"B=3609.4690404619746,w=2,eps=0.10000000000000001,alpha=2",0.59999999999999998,3609.4690404619746,31337.887277177419,1856902,27.104567505999999,7544,3472
REVENUE,algo9,"B=3609.4690404619746,eps=0.10000000000000001,mode=best(A,G)",0.59999999999999998,3609.4690404619746,57158.782099008153,50957629,316.28239660600002,5346,63904
REVENUE,algo10,"B=3609.4690404619746,eps=0.10000000000000001",0.59999999999999998,3609.4690404619746,61142.843105215354,70551538,438.30473403000002,5022,63868
REVENUE,edl,"B=3609.4690404619746,eps=0.10000000000000001",0.59999999999999998,3609.4690404619746,43679.691196027634,24107764,279.21408582100003,4597,768
REVENUE,twin_greedy,B=3609.4690404619746,0.59999999999999998,3609.4690404619746,46444.463661865324,134995886,1229.43806823,4511,868
REVENUE,dcs,"B=3910.2581271671397,w=2",0.65000000000000002,3910.2581271671397,46060.507735724575,24020,0.41351090400000001,2393,840
