objective,alg,params,B_factor,B,f_value,queries,time_sec,size,mem_kb
MAXCUT,dcs,"B=100.91038999139005,w=2",0.10000000000000001,100.91038999139005,11485,2047,0.000955268,315,384
MAXCUT,dcms,"B=100.91038999139005,w=2,eps=0.10000000000000001,alpha=2",0.10000000000000001,100.91038999139005,15278,164531,0.041930059999999998,452,1116
MAXCUT,algo9,"B=100.91038999139005,eps=0.10000000000000001,mode=best(A,G)",0.10000000000000001,100.91038999139005,13057,693784,0.16027106299999999,390,1232
MAXCUT,algo10,"B=100.91038999139005,eps=0.10000000000000001",0.10000000000000001,100.91038999139005,13057,1084735,0.37009029500000001,390,1232
MAXCUT,edl,"B=100.91038999139005,eps=0.10000000000000001",0.10000000000000001,100.91038999139005,15337,3285569,1.3346633569999999,446,0
MAXCUT,twin_greedy,B=100.91038999139005,0.10000000000000001,100.91038999139005,15340,2713853,1.3276344920000001,446,0
MAXCUT,dcs,"B=151.36558498708504,w=2",0.14999999999999999,151.36558498708504,15618,3894,0.001238233,468,384
MAXCUT,dcms,"B=151.36558498708504,w=2,eps=0.10000000000000001,alpha=2",0.14999999999999999,151.36558498708504,17205,180518,0.054140150999999997,530,1172
MAXCUT,algo9,"B=151.36558498708504,eps=0.10000000000000001,mode=best(A,G)",0.14999999999999999,151.36558498708504,19075,1154880,0.38542379700000001,695,1760
MAXCUT,algo10,"B=151.36558498708504,eps=0.10000000000000001",0.14999999999999999,151.36558498708504,19075,1529940,0.94996156600000004,695,1760
MAXCUT,edl,"B=151.36558498708504,eps=0.10000000000000001",0.14999999999999999,151.36558498708504,17758,3160461,1.779190552,541,0
MAXCUT,twin_greedy,B=151.36558498708504,0.14999999999999999,151.36558498708504,17756,3114744,1.3118532700000001,541,384
MAXCUT,dcs,"B=201.8207799827801,w=2",0.20000000000000001,201.8207799827801,17181,4004,0.0012687480000000001,536,0
MAXCUT,dcms,"B=201.8207799827801,w=2,eps=0.10000000000000001,alpha=2",0.20000000000000001,201.8207799827801,18906,186722,0.048682275999999997,632,1292
MAXCUT,algo9,"B=201.8207799827801,eps=0.10000000000000001,mode=best(A,G)",0.20000000000000001,201.8207799827801,20791,1327083,0.51341665400000003,811,2024
MAXCUT,algo10,"B=201.8207799827801,eps=0.10000000000000001",0.20000000000000001,201.8207799827801,20796,1743203,1.2598676069999999,809,1760
MAXCUT,edl,"B=201.8207799827801,eps=0.10000000000000001",0.20000000000000001,201.8207799827801,19503,3069755,1.2613747019999999,625,0
MAXCUT,twin_greedy,B=201.8207799827801,0.20000000000000001,201.8207799827801,19491,3381415,1.495004088,621,324
MAXCUT,dcs,"B=252.27597497847509,w=2",0.25,252.27597497847509,18289,4004,0.001468577,588,384
MAXCUT,dcms,"B=252.27597497847509,w=2,eps=0.10000000000000001,alpha=2",0.25,252.27597497847509,20050,189484,0.048348739000000002,673,1580
MAXCUT,algo9,"B=252.27597497847509,eps=0.10000000000000001,mode=best(A,G)",0.25,252.27597497847509,21720,1429565,0.62232267200000002,889,2024
MAXCUT,algo10,"B=252.27597497847509,eps=0.10000000000000001",0.25,252.27597497847509,21745,1859562,1.5782819960000001,885,2024
MAXCUT,edl,"B=252.27597497847509,eps=0.10000000000000001",0.25,252.27597497847509,20803,2997926,1.1479352350000001,692,384
