objective,alg,params,B_factor,B,f_value,queries,time_sec,size,mem_kb
MAXCUT,dcs,"B=201.95670741953256,w=2",0.10000000000000001,201.95670741953256,34253,5776,0.0018704080000000001,648,0
MAXCUT,dcms,"B=201.95670741953256,w=2,eps=0.10000000000000001,alpha=2",0.10000000000000001,201.95670741953256,39198,395494,0.054914931,710,1328
MAXCUT,algo9,"B=201.95670741953256,eps=0.10000000000000001,mode=best(A,G)",0.10000000000000001,201.95670741953256,44688,3726689,0.59154652900000004,1010,4400
MAXCUT,algo10,"B=201.95670741953256,eps=0.10000000000000001",0.10000000000000001,201.95670741953256,44707,5056742,1.1623535760000001,1007,4400
MAXCUT,edl,"B=201.95670741953256,eps=0.10000000000000001",0.10000000000000001,201.95670741953256,39182,7062164,1.3023302779999999,784,780
MAXCUT,twin_greedy,B=201.95670741953256,0.10000000000000001,201.95670741953256,39238,9736487,1.2766705089999999,780,0
MAXCUT,dcs,"B=302.93506112929879,w=2",0.14999999999999999,302.93506112929879,39220,8082,0.002687535,815,0
MAXCUT,dcms,"B=302.93506112929879,w=2,eps=0.10000000000000001,alpha=2",0.14999999999999999,302.93506112929879,43390,440875,0.063673295000000005,874,1388
MAXCUT,algo9,"B=302.93506112929879,eps=0.10000000000000001,mode=best(A,G)",0.14999999999999999,302.93506112929879,46828,4391397,0.74448076500000004,1225,5192
MAXCUT,algo10,"B=302.93506112929879,eps=0.10000000000000001",0.14999999999999999,302.93506112929879,46899,6072804,1.4832385210000001,1215,5192
MAXCUT,edl,"B=302.93506112929879,eps=0.10000000000000001",0.14999999999999999,302.93506112929879,43037,6965047,1.3133907549999999,999,896
MAXCUT,twin_greedy,B=302.93506112929879,0.14999999999999999,302.93506112929879,43042,11661282,1.5841860619999999,999,0
MAXCUT,dcs,"B=403.91341483906513,w=2",0.20000000000000001,403.91341483906513,40916,8082,0.002521854,897,0
MAXCUT,dcms,"B=403.91341483906513,w=2,eps=0.10000000000000001,alpha=2",0.20000000000000001,403.91341483906513,44699,453808,0.067904751999999999,1055,1708
MAXCUT,algo9,"B=403.91341483906513,eps=0.10000000000000001,mode=best(A,G)",0.20000000000000001,403.91341483906513,47747,4983219,0.89360522099999995,1428,5864
MAXCUT,algo10,"B=403.91341483906513,eps=0.10000000000000001",0.20000000000000001,403.91341483906513,47913,6846050,1.8066078670000001,1402,5984
MAXCUT,edl,"B=403.91341483906513,eps=0.10000000000000001",0.20000000000000001,403.91341483906513,45321,6899004,1.3296751200000001,1187,888
MAXCUT,twin_greedy,B=403.91341483906513,0.20000000000000001,403.91341483906513,45314,13110175,1.768297802,1188,0
